省份,省会/首府,经度,纬度
上海市,上海市,121.472644,31.231706
云南省,昆明市,102.712251,25.040609
内蒙古自治区,呼和浩特市,111.670801,40.818311
北京市,北京市,116.403874,39.914885
台湾省,台北市,121.509062,25.044332
吉林省,长春市,125.324501,43.886841
四川省,成都市,104.065735,30.659462
天津市,天津市,117.200983,39.084158
宁夏回族自治区,银川市,106.23248,38.48644
安徽省,合肥市,117.283042,31.86119
山东省,济南市,117.000923,36.675808
山西省,太原市,112.548873,37.857014
广东省,广州市,113.280637,23.125178
广西壮族自治区,南宁市,108.320004,22.82402
新疆维吾尔自治区,乌鲁木齐市,87.617733,43.792818
江苏省,南京市,118.778074,32.047235
江西省,南昌市,115.892151,28.676493
河北省,石家庄市,114.502464,38.045475
河南省,郑州市,113.665412,34.757975
浙江省,杭州市,120.153576,30.287459
海南省,海口市,110.33119,20.031971
湖北省,武汉市,114.305469,30.593175
湖南省,长沙市,112.982279,28.19409
澳门特别行政区,澳门,113.54909,22.198951
甘肃省,兰州市,103.823557,36.058039
福建省,福州市,119.306236,26.075302
西藏自治区,拉萨市,91.132212,29.660361
贵州省,贵阳市,106.713478,26.578343
辽宁省,沈阳市,123.429096,41.796767
重庆市,重庆市,106.504962,29.533155
陕西省,西安市,108.948024,34.263161
青海省,西宁市,101.778916,36.623178
香港特别行政区,香港,114.173355,22.320048
黑龙江省,哈尔滨市,126.642464,45.803775
